transaction_date,store_id,product_id,transaction_qty,day_of_week
2024-01-01,1,1,0.0,0
2024-01-01,1,2,0.0,0
2024-01-01,1,3,0.0,0
2024-01-01,1,4,0.0,0
2024-01-01,1,5,0.0,0
2024-01-01,1,6,0.0,0
2024-01-01,1,7,0.0,0
2024-01-01,1,8,0.0,0
2024-01-01,1,9,0.0,0
2024-01-01,1,10,0.0,0
2024-01-01,1,11,0.0,0
2024-01-01,1,12,0.0,0
2024-01-01,1,13,0.0,0
2024-01-01,1,14,0.0,0
2024-01-01,1,15,0.0,0
2024-01-01,1,16,0.0,0
2024-01-01,1,17,0.0,0
2024-01-01,1,18,0.0,0
2024-01-01,1,19,0.0,0
2024-01-01,1,20,0.0,0
2024-01-01,1,21,0.0,0
2024-01-01,1,22,5.0,0
2024-01-01,1,23,7.0,0
2024-01-01,1,24,5.0,0
2024-01-01,1,25,5.0,0
2024-01-01,1,26,4.0,0
2024-01-01,1,27,8.0,0
2024-01-01,1,28,10.0,0
2024-01-01,1,29,6.0,0
2024-01-01,1,30,5.0,0
2024-01-01,1,31,4.0,0
2024-01-01,1,32,6.0,0
2024-01-01,1,33,4.0,0
2024-01-01,1,34,8.0,0
2024-01-01,1,35,9.0,0
2024-01-01,1,36,10.0,0
2024-01-01,1,37,3.0,0
2024-01-01,1,38,10.0,0
2024-01-01,1,39,5.0,0
2024-01-01,1,40,4.0,0
2024-01-01,1,41,7.0,0
2024-01-01,1,42,10.0,0
2024-01-01,1,43,9.0,0
2024-01-01,1,44,8.0,0
2024-01-01,1,45,2.0,0
2024-01-01,1,46,9.0,0
2024-01-01,1,47,6.0,0
2024-01-01,1,48,0.0,0
2024-01-01,1,49,7.0,0
2024-01-01,1,50,4.0,0
2024-01-01,1,51,2.0,0
2024-01-01,1,52,9.0,0
2024-01-01,1,53,2.0,0
2024-01-01,1,54,9.0,0
2024-01-01,1,55,13.0,0
2024-01-01,1,56,6.0,0
2024-01-01,1,57,3.0,0
2024-01-01,1,58,11.0,0
2024-01-01,1,59,7.0,0
2024-01-01,1,60,13.0,0
2024-01-01,1,61,5.0,0
2024-01-01,1,62,0.0,0
2024-01-01,1,63,0.0,0
2024-01-01,1,64,0.0,0
2024-01-01,1,65,0.0,0
2024-01-01,1,66,0.0,0
2024-01-01,1,67,0.0,0
2024-01-01,1,68,0.0,0
2024-01-01,1,69,3.0,0
2024-01-01,1,70,1.0,0
2024-01-01,1,71,1.0,0
2024-01-01,1,72,0.0,0
2024-01-01,1,73,0.0,0
2024-01-01,1,74,1.0,0
2024-01-01,1,75,4.0,0
2024-01-01,1,76,1.0,0
2024-01-01,1,77,0.0,0
2024-01-01,1,78,1.0,0
2024-01-01,1,79,5.0,0
2024-01-01,1,80,0.0,0
2024-01-01,1,81,0.0,0
2024-01-01,1,82,0.0,0
2024-01-01,1,83,0.0,0
2024-01-01,1,84,0.0,0
2024-01-01,1,85,0.0,0
2024-01-01,1,86,0.0,0
2024-01-01,1,87,0.0,0
2024-01-01,2,1,0.0,0
2024-01-01,2,2,0.0,0
2024-01-01,2,3,0.0,0
2024-01-01,2,4,0.0,0
2024-01-01,2,5,0.0,0
2024-01-01,2,6,0.0,0
2024-01-01,2,7,0.0,0
2024-01-01,2,8,0.0,0
2024-01-01,2,9,0.0,0
2024-01-01,2,10,0.0,0
2024-01-01,2,11,0.0,0
2024-01-01,2,12,0.0,0
2024-01-01,2,13,0.0,0
2024-01-01,2,14,0.0,0
2024-01-01,2,15,0.0,0
2024-01-01,2,16,0.0,0
2024-01-01,2,17,0.0,0
2024-01-01,2,18,0.0,0
2024-01-01,2,19,0.0,0
2024-01-01,2,20,0.0,0
2024-01-01,2,21,0.0,0
2024-01-01,2,22,3.0,0
2024-01-01,2,23,9.0,0
2024-01-01,2,24,5.0,0
2024-01-01,2,25,16.0,0
2024-01-01,2,26,3.0,0
