store_id,product_id,transaction_date,transaction_qty,transaction_id
ST1,1,2024-01-08,1,[4329]
ST1,1,2024-01-15,1,[8376]
ST1,1,2024-01-20,1,[11305]
ST1,1,2024-02-15,1,[25862]
ST1,1,2024-02-16,1,[26245]
ST1,1,2024-02-19,1,[28300]
ST1,1,2024-02-20,2,"[28561, 28951]"
ST1,1,2024-03-09,1,[39147]
ST1,1,2024-03-10,1,[40479]
ST1,1,2024-03-11,1,[40938]
ST1,1,2024-03-15,2,"[43896, 44015]"
ST1,1,2024-03-16,1,[44808]
ST1,1,2024-03-17,1,[45238]
ST1,1,2024-03-19,1,[46803]
ST1,1,2024-03-20,3,"[47051, 47065, 47533]"
ST1,1,2024-04-09,1,[61637]
ST1,1,2024-04-15,1,[67582]
ST1,1,2024-04-17,1,[69114]
ST1,1,2024-04-18,1,[69951]
ST1,1,2024-04-19,2,"[71065, 71194]"
ST1,1,2024-04-20,1,[71343]
ST1,1,2024-04-30,1,[79758]
ST1,1,2024-05-10,1,[91055]
ST1,1,2024-05-15,1,[96567]
ST1,1,2024-05-16,2,"[97348, 97858]"
ST1,1,2024-05-18,1,[99568]
ST1,1,2024-05-19,1,[100482]
ST1,1,2024-05-20,2,"[101434, 101453]"
ST1,2,2024-01-15,1,[8042]
ST1,2,2024-01-18,2,"[9837, 9947]"
ST1,2,2024-01-21,1,[11947]
ST1,2,2024-01-30,1,[16653]
ST1,2,2024-02-14,1,[24869]
ST1,2,2024-02-17,1,[26816]
ST1,2,2024-02-19,1,[27996]
ST1,2,2024-03-09,1,[39647]
ST1,2,2024-03-12,1,[41585]
ST1,2,2024-03-14,1,[42744]
ST1,2,2024-03-16,1,[44779]
ST1,2,2024-03-18,1,[45723]
ST1,2,2024-03-20,1,[47083]
ST1,2,2024-04-08,1,[61543]
ST1,2,2024-04-09,1,[62226]
ST1,2,2024-04-10,2,"[63193, 63283]"
ST1,2,2024-04-12,1,[64597]
ST1,2,2024-04-14,1,[66566]
ST1,2,2024-04-16,1,[68593]
ST1,2,2024-04-18,1,[69953]
ST1,2,2024-04-19,1,[70640]
ST1,2,2024-04-20,1,[71374]
ST1,2,2024-04-21,1,[72743]
ST1,2,2024-05-08,1,[88882]
ST1,2,2024-05-09,1,[89749]
ST1,2,2024-05-10,2,"[90990, 91104]"
ST1,2,2024-05-12,1,[92757]
ST1,2,2024-05-14,1,[95290]
ST1,2,2024-05-15,1,[95855]
ST1,2,2024-05-16,1,[97817]
ST1,2,2024-05-18,1,[99195]
ST1,2,2024-05-20,1,[101493]
ST1,2,2024-05-31,1,[113312]
ST1,3,2024-01-08,1,[4097]
ST1,3,2024-01-18,1,[10254]
ST1,3,2024-01-19,2,"[10399, 10532]"
ST1,3,2024-01-21,1,[12023]
ST1,3,2024-01-30,1,[16478]
ST1,3,2024-01-31,1,[17063]
ST1,3,2024-02-12,1,[23711]
ST1,3,2024-02-15,1,[25645]
ST1,3,2024-02-18,1,[27757]
ST1,3,2024-02-19,1,[27915]
ST1,3,2024-02-21,1,[29610]
ST1,3,2024-03-12,2,"[41380, 41381]"
ST1,3,2024-03-14,1,[43295]
ST1,3,2024-03-15,1,[43619]
ST1,3,2024-03-17,2,"[45060, 45181]"
ST1,3,2024-03-19,1,[46381]
ST1,3,2024-03-21,1,[48312]
ST1,3,2024-04-08,1,[61175]
ST1,3,2024-04-12,1,[64354]
ST1,3,2024-04-14,1,[66689]
ST1,3,2024-04-15,2,"[66922, 67108]"
ST1,3,2024-04-17,1,[69037]
ST1,3,2024-04-19,1,[70509]
ST1,3,2024-05-08,2,"[88260, 88419]"
ST1,3,2024-05-12,2,"[92433, 92434]"
ST1,3,2024-05-17,2,"[98246, 98410]"
ST1,3,2024-05-18,1,[100041]
ST1,3,2024-05-19,2,"[100329, 100592]"
ST1,3,2024-05-20,1,[101374]
ST1,3,2024-05-21,1,[103437]
ST1,3,2024-05-30,1,[112162]
ST1,4,2024-01-09,1,[4536]
ST1,4,2024-01-10,1,[5331]
ST1,4,2024-01-12,1,[6256]
ST1,4,2024-01-14,1,[7604]
ST1,4,2024-01-15,1,[8513]
ST1,4,2024-01-17,1,[9562]
ST1,4,2024-01-20,1,[11046]
ST1,4,2024-01-21,1,[11793]
ST1,4,2024-01-31,1,[17141]
ST1,4,2024-02-09,1,[21939]
ST1,4,2024-02-14,1,[25119]
ST1,4,2024-02-17,1,[26915]
ST1,4,2024-02-18,1,[27719]
ST1,4,2024-02-20,1,[28797]
ST1,4,2024-02-21,1,[29367]
ST1,4,2024-03-15,2,"[44033, 44046]"
ST1,4,2024-03-18,1,[46167]
ST1,4,2024-03-19,2,"[46944, 46954]"
